SN	SNID	Wang	Branch	z_Helio	z_CMB	T_Bmax	m_B	em_B	Deltam_15 edm15	Ebv	BV_max	eBV_max	Low	DeltaM_B eDM_B	
2004dt	Normal	HV	BL	0.01973	0.01883	53239.1	15.000	0.035	1.235	0.072	0.023	-0.046	0.047	-99 	-0.39	0.18	
2004ef	Normal	HV	BL	0.03099	0.02979	53264.0	16.828	0.019	1.379	0.061	0.056	0.102	0.027	-99 	-0.09	0.12	
2004eo	Normal	N	CL	0.01570	0.01475	53278.2	15.067	0.011	1.365	0.063	0.108	0.055	0.020	Y	-0.16	0.17	
2004ey	Normal	N	CN	0.01579	0.01464	53303.9	14.713	0.011	0.930	0.013	0.139	-0.063	0.022	Y	0.15	0.16	
2004gc	Normal	X	X	0.03070	0.03074	53324.6	16.649	0.028	1.088	0.055	0.206	0.150	0.037	-99 	-0.25	0.13	
2004gs	Normal	N	CL	0.02665	0.02752	53356.0	17.132	0.017	1.613	0.082	0.031	0.158	0.044	-99 	0.07	0.16	
2004gu	Normal	91T	SS	0.04586	0.04693	53363.4	17.478	0.017	0.888	0.299	0.027	0.189	0.021	-99 	-0.33	0.23	
2005A	Normal	HV	BL	0.01914	0.01835	53380.4	18.141	0.151	1.222	0.183	0.030	1.019	0.192	-99 	-0.10	0.58	
2005M	91T	91T	SS	0.02462	0.02560	53405.4	15.924	0.038	0.844	0.066	0.031	0.018	0.039	Y	-0.03	0.15	
2005W	X	N	BL	0.00889	0.00796	53411.8	14.138	0.009	1.225	0.071	0.071	0.090	0.070	-99 	-99 	-99
2005ag	Normal	N	BL	0.0798	0.0804	53414.0	18.447	0.060	0.920	0.169	0.041	-0.003	0.125	Y	-0.08	0.37	
2005al	Normal	X	X	0.01240	0.01329	53429.9	14.870	0.020	1.166	0.031	0.055	-0.034	0.022	Y	0.27	0.18	
2005am	Normal	HV	BL	0.00790	0.00897	53436.6	13.639	0.009	1.514	0.076	0.054	0.045	0.015	Y	-99 	-99
