#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2004ef     -8.51  -999.0  99.00  -999.0  99.00    92.3   5.11   164.9   3.67    88.5   1.29    22.2   1.35   150.0   2.36  -999.0  99.00
SN2004ef     -7.52  -999.0  99.00  -999.0  99.00    95.8   2.40   169.2   1.02    72.0   1.30    20.8   0.89   150.8   0.87  -999.0  99.00
SN2004ef     -5.59  -999.0  99.00    21.1   0.78   103.0   1.27   171.2   2.58    88.5   1.69    23.1   0.63   142.5   1.86  -999.0  99.00
SN2004ef     -6.47  -999.0  99.00    15.9   0.80   113.4   1.58   187.4   2.35    82.5   2.37    22.6   1.31   115.7   5.85  -999.0  99.00
SN2004ef     -1.78  -999.0  99.00    22.4   0.80   104.9   1.14   174.7   1.68    87.0   1.83    20.9   0.87   125.4   1.22   126.8   9.66
SN2004ef     -0.16   155.6   2.69    28.6   0.66   110.0   0.98   182.9   1.56    94.5   1.35    28.6   0.75   135.1   1.01  -999.0  99.00
SN2004ef      0.85   154.1   3.66    27.2   0.86   109.7   1.44   196.2   3.57    96.5   2.07    30.8   1.37   130.2   1.37  -999.0  99.00
SN2004ef      1.76   152.4   2.36    29.9   1.15   106.8   1.27   187.9   1.70    88.4   1.17    30.0   0.93   128.7   1.04  -999.0  99.00
SN2004ef      2.74   155.1   4.97    35.2   2.34   116.3   4.38   196.5   3.71   107.7   3.98    44.9   3.51   130.1   2.88  -999.0  99.00
SN2004ef      3.04  -999.0  99.00  -999.0  99.00  -999.0  99.00   174.8   4.00    83.4   2.47    22.0   1.69   110.0   2.71   103.0  22.62
SN2004ef      4.06  -999.0  99.00    29.0   1.85    94.2   2.21   205.7   1.67    83.0   0.92    23.2   1.28   135.5   3.26   247.5   7.23
SN2004ef     37.03  -999.0  99.00  -999.0  99.00   284.4  14.90   404.4  16.48  -999.0  99.00  -999.0  99.00   239.5   2.95   362.6  79.41
