#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2006ax    -10.47  -999.0  99.00     6.3   0.59    79.1   1.36    96.2   1.21    72.8   1.78    11.7   0.74    95.3   1.95   174.6   5.05
SN2006ax     -9.59  -999.0  99.00     8.9   0.48    93.4   1.43    91.4   1.30    70.5   1.02    11.5   0.54    84.6   0.91   158.0   2.39
SN2006ax     -8.51  -999.0  99.00     8.0   0.48    99.2   0.92    95.3   1.78    76.9   1.40    12.6   0.66    82.0   1.00   123.1   2.97
SN2006ax     -6.25   120.0   0.80    11.4   0.42   102.4   0.63    87.8   1.02    74.3   0.87     9.6   0.54    80.5   0.59  -999.0  99.00
SN2006ax     -2.58  -999.0  99.00    12.7   0.67   100.3   1.57   105.8   0.58    79.4   0.58    10.9   0.31    88.1   0.41   111.8   1.95
SN2006ax     -1.64  -999.0  99.00    11.5   0.50    98.1   1.61   108.1   1.60    82.6   0.90    12.7   0.52    92.3   1.26   117.0   4.84
SN2006ax      0.23  -999.0  99.00    14.2   0.61    97.1   0.57   126.3   1.49    89.8   0.71    12.9   0.30    94.4   0.46   123.4   5.18
SN2006ax      0.65   115.6   0.85    13.6   0.33   101.2   1.56   120.9   0.80    84.0   0.53    11.9   0.38    93.9   0.61  -999.0  99.00
SN2006ax     14.13  -999.0  99.00  -999.0  99.00   227.0   1.33   241.7   1.09  -999.0  99.00  -999.0  99.00   151.6   1.26   338.3   2.70
SN2006ax     18.99  -999.0  99.00  -999.0  99.00   279.5   1.17   276.6   1.65  -999.0  99.00  -999.0  99.00   176.8   1.87   366.7   4.13
