#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2006X     -10.29  -999.0  99.00  -999.0  99.00  -999.0  99.00   253.9  16.18    98.0   5.26    42.5   5.63   194.7   3.74  -999.0  99.00
SN2006X     -10.39  -999.0  99.00  -999.0  99.00  -999.0  99.00   254.0   1.33    90.4   1.38    25.3   0.27   184.5   0.34  -999.0  99.00
SN2006X      -8.46  -999.0  99.00  -999.0  99.00  -999.0  99.00   245.2   6.50    96.9   1.52    17.6   1.44   187.1   1.22  -999.0  99.00
SN2006X      -7.40  -999.0  99.00  -999.0  99.00  -999.0  99.00   221.8   1.92    90.6   0.60     8.9   0.60   190.0   0.54  -999.0  99.00
SN2006X      -6.49  -999.0  99.00  -999.0  99.00  -999.0  99.00   221.0   1.39    90.4   1.90     6.4   0.29   189.4   0.34  -999.0  99.00
SN2006X      -6.26   225.4   5.63    20.6   2.04   111.5   1.48   223.4   0.88    85.1   1.28     7.3   0.73   195.3   1.17   386.4   1.36
SN2006X      -1.55  -999.0  99.00  -999.0  99.00   136.3   7.93   230.6   6.33    95.2   1.53    12.6   0.76   186.1   0.88  -999.0  99.00
SN2006X      -0.38  -999.0  99.00  -999.0  99.00  -999.0  99.00   242.1   4.89    92.5   0.38    10.5   0.21   185.2   0.31  -999.0  99.00
SN2006X       2.07   158.8   3.42    23.4   0.75   107.6   0.70   255.1   0.97    82.3   0.43     8.6   0.24   178.7   0.64  -999.0  99.00
SN2006X       3.08   172.3   1.94    28.3   0.39   115.6   0.25   268.1   0.24    76.0   0.26    10.4   0.17   174.2   0.61   301.5   1.09
SN2006X       3.07   168.4   3.15    29.8   1.31   115.0   0.60   267.5   0.73    75.6   0.51     9.2   0.16   174.1   0.52  -999.0  99.00
SN2006X       3.48  -999.0  99.00  -999.0  99.00  -999.0  99.00   288.8   1.48    66.8   0.42     9.6   0.26   171.7   0.41  -999.0  99.00
SN2006X       5.01   172.9   3.78    33.8   0.73   117.0   0.82   287.1   0.54    58.0   0.58    10.2   0.24   167.2   0.32  -999.0  99.00
SN2006X       6.01   174.8   4.35    36.0   0.59   166.4   0.92   296.8   1.14    45.6   0.66     9.8   0.33   163.6   0.29  -999.0  99.00
SN2006X       6.96   159.1   7.26    42.7   1.20   178.6   1.41   306.9   0.83    34.7   0.45    13.0   0.31   159.0   0.41  -999.0  99.00
SN2006X       7.39  -999.0  99.00  -999.0  99.00  -999.0  99.00   311.2  22.82    23.4   2.84    31.1   3.33   169.3   3.01  -999.0  99.00
SN2006X       7.55  -999.0  99.00  -999.0  99.00  -999.0  99.00   319.4   1.94    20.6   0.41    22.0   0.54   156.1   0.52  -999.0  99.00
SN2006X       7.64  -999.0  99.00  -999.0  99.00   224.4  15.72   321.2   3.10    28.5   3.03    18.8   1.07   161.8   2.62   363.0   3.57
SN2006X       8.08   169.7   3.53    49.6   0.79   208.8   0.95   317.5   0.68    17.8   0.33    18.8   0.30   157.5   0.40  -999.0  99.00
SN2006X      11.50  -999.0  99.00  -999.0  99.00  -999.0  99.00   349.1   1.86  -999.0  99.00    74.7   0.94   152.1   0.30  -999.0  99.00
