#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2006D      -6.06    84.8   0.89    16.0   0.33   141.4   1.80   104.3   1.95    83.2   1.04    20.6   0.46    90.0   0.59   135.0   2.36
SN2006D       1.86  -999.0  99.00  -999.0  99.00   195.6   0.51   150.3   0.74    85.5   0.65    25.7   0.43   100.8   0.25   209.3   1.19
SN2006D       2.64   104.7   1.35    23.6   0.54   200.3   1.99   144.1   0.70    90.4   0.35    33.4   0.35   102.3   0.14   201.9   1.50
SN2006D       4.70   105.3   0.77    24.5   0.22   213.4   1.19   158.2   1.18    84.0   0.77    28.4   0.73   102.7   0.53  -999.0  99.00
SN2006D      21.74  -999.0  99.00  -999.0  99.00   240.5   2.44   340.1   1.66  -999.0  99.00  -999.0  99.00   200.5   1.05   425.9   1.88
SN2006D      35.63  -999.0  99.00  -999.0  99.00   264.7   5.35   362.5   1.21  -999.0  99.00  -999.0  99.00   219.8   2.26   447.6   3.51
SN2006D      41.59  -999.0  99.00  -999.0  99.00   265.7   2.31   359.1   1.91  -999.0  99.00  -999.0  99.00   221.1   1.68   470.2   3.33
SN2006D      44.55  -999.0  99.00  -999.0  99.00   285.9   2.99   360.6   1.07  -999.0  99.00  -999.0  99.00   218.0   1.35   498.2   4.12
SN2006D      50.44  -999.0  99.00  -999.0  99.00   276.4   0.86   351.5   0.42  -999.0  99.00  -999.0  99.00   196.2   1.10   484.4   1.00
SN2006D      59.28  -999.0  99.00  -999.0  99.00   281.7   2.31   314.8   1.55  -999.0  99.00  -999.0  99.00   202.6   1.98   499.7   4.13
SN2006D      66.36  -999.0  99.00  -999.0  99.00   324.6  15.35   316.0   5.82  -999.0  99.00  -999.0  99.00   250.2  11.20  -999.0  99.00
SN2006D      69.24  -999.0  99.00  -999.0  99.00   289.0   3.83   292.4   6.63  -999.0  99.00  -999.0  99.00   219.6   3.93   597.4  20.53
SN2006D      91.98  -999.0  99.00  -999.0  99.00   274.9   3.21   269.5   1.50  -999.0  99.00  -999.0  99.00   210.4   1.92   562.1  21.87
