#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2005bg      1.96  -999.0  99.00     7.9   0.48    78.1   1.07    89.6   2.15    62.6   1.64    13.1   1.22    56.4   0.74    61.7   8.04
SN2005bg      4.86  -999.0  99.00    11.3   1.36    96.2   5.26   112.6   1.47    56.5   0.99    12.8   0.87    69.8   2.14    68.4   4.19
SN2005bg      8.77  -999.0  99.00  -999.0  99.00   127.1   5.04   144.8   1.30    26.4   1.00    28.3   0.95    90.4   1.85   104.8   8.49
