#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2008bq      0.33  -999.0  99.00    13.1   0.55    94.5   0.77   150.0   1.20    81.1   0.90    15.8   0.93    94.6   0.71   173.0   8.65
SN2008bq      5.16  -999.0  99.00    15.8   0.58   130.8   2.47   190.2   1.59    81.1   1.34    19.0   0.76   104.2   1.29   215.9  11.33
SN2008bq     18.71   178.6   5.24  -999.0  99.00   309.9   3.66   306.9   1.41  -999.0  99.00  -999.0  99.00   158.5   1.20   395.6   5.33
SN2008bq     33.21  -999.0  99.00  -999.0  99.00   268.0   3.28   411.5   2.31  -999.0  99.00  -999.0  99.00   233.6   0.90   384.2   8.64
