#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2005el     -7.31  -999.0  99.00    14.5   0.57    73.3   1.24    86.9   0.95    75.3   0.95    13.9   0.65    94.7   1.41   103.8   1.64
SN2005el     -6.99   123.8   1.23    15.2   0.37    80.5   1.07    92.9   1.69    77.6   1.56    19.0   0.76    83.7   0.80   134.2   4.17
SN2005el     -6.31  -999.0  99.00    16.3   0.66    80.9   2.38    93.6   2.38    78.7   0.67    14.9   0.56    80.2   1.22   106.7   3.49
SN2005el     -5.04   115.2   1.19    18.2   0.53    82.4   1.29    96.2   1.27    76.6   1.10    19.6   0.43    77.6   1.69  -999.0  99.00
SN2005el     -4.05   116.0   2.08    20.2   0.53    80.2   1.34   107.1   1.34    79.3   1.21    23.5   0.75    85.3   0.67  -999.0  99.00
SN2005el      0.93   112.1   0.85    20.2   0.47    89.3   0.60   128.2   1.17    88.5   0.95    22.5   0.60    96.0   0.81   135.4   1.93
SN2005el      1.62  -999.0  99.00    18.8   0.57    81.9   0.99   114.2   1.55    82.8   0.91    17.9   0.47    94.0   0.57   130.2   2.83
SN2005el      3.83   106.1   1.43    19.6   0.51    73.4   1.71   126.9   0.87    81.3   0.92    31.0   1.23   104.3   0.75  -999.0  99.00
SN2005el      7.81    90.4   1.64  -999.0  99.00   154.0   2.46   171.0   0.88  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00
SN2005el     14.39    76.3   2.81  -999.0  99.00   258.4   4.62   236.7   1.20  -999.0  99.00  -999.0  99.00   153.6   4.38   281.6   2.81
