#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2005na      0.17    94.5   2.04    12.1   1.00   117.2   1.52   132.7   1.48    89.4   1.27    16.0   1.52    77.7   1.69  -999.0  99.00
SN2005na      1.14    85.1   0.93    11.0   0.77   111.7   1.31   113.2   0.83    83.0   1.16    15.6   1.71    75.8   1.70    86.5  13.17
SN2005na      2.13    97.1   1.93    10.3   0.78   108.8   2.24   143.8   2.93    82.7   1.94    22.4   2.26    87.8   2.12   133.4  21.14
SN2005na      3.07   104.3   2.04    10.4   0.54    96.8   1.21   130.0   1.93    83.5   1.14    24.8   1.29    87.5   1.55  -999.0  99.00
SN2005na      5.13    92.1   1.33    10.9   0.47   100.6   2.57   138.2   2.86    71.1   0.84    24.4   0.96    83.3   1.22  -999.0  99.00
SN2005na     11.38    77.3   1.45  -999.0  99.00   197.1   2.20   209.3   2.14  -999.0  99.00  -999.0  99.00   135.9   3.51   224.6   4.42
SN2005na     19.18  -999.0  99.00  -999.0  99.00  -999.0  99.00   294.1   1.17  -999.0  99.00  -999.0  99.00   164.2   0.48   281.0   1.71
SN2005na     38.59  -999.0  99.00  -999.0  99.00  -999.0  99.00   372.3  15.63  -999.0  99.00  -999.0  99.00   237.6   6.71   319.1   9.33
SN2005na     61.02    56.5  10.35  -999.0  99.00   116.1   5.50    45.3   1.71  -999.0  99.00  -999.0  99.00    79.4   2.17   108.1  18.46
SN2005na     67.78  -999.0  99.00  -999.0  99.00 -9265.1 395.07   205.2  19.14  -999.0  99.00  -999.0  99.00   169.2  13.37   195.5  27.78
SN2005na     67.79  -999.0  99.00  -999.0  99.00  -999.0  99.00   305.5   2.99  -999.0  99.00  -999.0  99.00   182.4   3.83   339.0   9.51
SN2005na     75.49    60.6  10.42  -999.0  99.00   225.5   4.84   226.4   5.23  -999.0  99.00  -999.0  99.00   131.8   3.02   315.7  65.84
