#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2007sr     13.79  -999.0  99.00  -999.0  99.00   249.1   1.39   284.9   0.60  -999.0  99.00  -999.0  99.00   156.8   1.07   266.7   1.11
SN2007sr     20.77    91.0   0.96  -999.0  99.00   312.8   2.16   339.0   1.27  -999.0  99.00  -999.0  99.00   185.2   1.81   415.8   5.06
SN2007sr     22.73  -999.0  99.00  -999.0  99.00  -999.0  99.00   355.3   0.94  -999.0  99.00  -999.0  99.00   205.4   1.10   467.8   6.70
SN2007sr     34.71    92.6   1.52  -999.0  99.00   291.5   0.98   445.4   0.97  -999.0  99.00  -999.0  99.00   235.2   2.18   443.7   2.50
SN2007sr     44.66    93.2   1.06  -999.0  99.00   299.8   0.82   424.8   1.05  -999.0  99.00  -999.0  99.00   234.6   0.66   462.0   2.78
SN2007sr     49.59    98.3   1.87  -999.0  99.00   301.4   0.81   424.5   2.30  -999.0  99.00  -999.0  99.00   236.7   1.41   479.6   4.20
SN2007sr     62.48  -999.0  99.00  -999.0  99.00  -999.0  99.00   372.0   1.49  -999.0  99.00  -999.0  99.00   225.6   0.54   496.5   2.37
SN2007sr     72.46  -999.0  99.00  -999.0  99.00   303.8   2.58   319.2   0.88  -999.0  99.00  -999.0  99.00   215.6   1.70   460.9   1.99
SN2007sr     91.32   115.8   1.29  -999.0  99.00   282.6   1.82   286.9   2.36  -999.0  99.00  -999.0  99.00   222.1   0.54   541.7   3.37
SN2007sr     97.26   108.4   1.47  -999.0  99.00   286.1   1.64   284.0   1.77  -999.0  99.00  -999.0  99.00   231.8   0.50   523.6   0.99
SN2007sr    115.20  -999.0  99.00  -999.0  99.00   280.2   3.97   266.5   1.30  -999.0  99.00  -999.0  99.00   235.2   1.32   497.6   2.83
SN2007sr    119.99  -999.0  99.00  -999.0  99.00   286.0   1.39   263.4   0.80  -999.0  99.00  -999.0  99.00   240.0   0.79   483.6   4.13
SN2007sr    133.94   141.3   3.50  -999.0  99.00   285.9   1.79   262.7   0.59  -999.0  99.00  -999.0  99.00   245.2   0.70   416.6   4.84
