#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2007af    -11.06   158.2   1.48    14.9   0.20   107.3   0.87   144.9   1.33    80.2   1.26    25.4   0.29   106.8   0.38   253.5   1.71
SN2007af     -5.27   135.5   0.73    19.5   0.52    98.3   0.62   126.3   0.41    94.4   0.88    23.5   0.37   100.6   0.49  -999.0  99.00
SN2007af     -5.15  -999.0  99.00    18.0   0.77   128.8   5.17   130.7   0.73    85.8   0.36    19.9   0.20    99.1   0.36   117.6   0.79
SN2007af     -4.28   132.1   0.47    20.6   0.43   102.7   0.86   144.8   0.86    91.1   0.60    20.8   0.18   100.9   0.26  -999.0  99.00
SN2007af     -3.30   131.1   0.51    20.0   0.24   101.6   0.51   150.0   0.34    92.8   0.33    21.2   0.30   102.7   0.29  -999.0  99.00
SN2007af     -2.32   125.5   0.65    20.2   0.40    98.1   0.86   157.0   0.35    97.4   0.89    21.6   0.49   102.5   0.37  -999.0  99.00
SN2007af     -1.22   127.0   0.44    21.4   0.25   105.0   0.40   171.1   0.80    97.7   0.32    23.7   0.15   107.9   0.49   191.9   0.59
SN2007af     -1.31   124.4   0.85    19.8   0.52   103.1   0.60   154.8   0.51    93.5   0.60    23.0   0.48   103.0   0.27  -999.0  99.00
SN2007af     -1.16   117.0   0.70    19.3   0.61   125.5   1.76   152.8   1.50    85.7   0.56    21.3   0.34   103.8   0.25   188.7   1.44
SN2007af     -1.32   119.2   0.42    20.7   0.27   103.6   0.42   158.2   0.45    94.3   0.60    19.4   0.30   105.9   0.48  -999.0  99.00
SN2007af      0.62   120.8   1.10    20.5   0.41   101.2   0.90   165.0   0.37    94.1   0.39    22.5   0.42   106.8   0.55  -999.0  99.00
SN2007af      2.87  -999.0  99.00  -999.0  99.00  -999.0  99.00   176.9   0.48    96.1   0.16    23.0   0.12   114.0   0.40   226.6   0.55
SN2007af      2.64   114.3   1.35    22.5   0.38   138.0   1.29   175.6   0.51    92.5   0.40    22.6   0.64   107.8   0.31  -999.0  99.00
SN2007af      3.84   103.8   0.66  -999.0  99.00   150.8   3.50   185.7   1.11    95.2   0.39    21.9   0.30   114.3   0.44   223.7   0.68
SN2007af      3.62   100.7   0.40  -999.0  99.00   141.0   1.28   185.2   0.59    94.9   0.24    23.6   0.31   111.3   0.27  -999.0  99.00
SN2007af      3.79   103.5   1.00    26.5   0.69   151.4   1.67   184.5   0.99    89.1   0.62    22.0   0.48   115.1   0.63   230.6   1.45
SN2007af      4.62    96.8   0.77  -999.0  99.00   155.8   1.19   193.7   1.21    92.3   0.65    26.5   0.67   115.4   0.75  -999.0  99.00
SN2007af      5.68    98.1   0.59  -999.0  99.00   165.4   0.32   204.0   0.44    89.9   0.36    25.8   0.29   118.3   0.65  -999.0  99.00
SN2007af     10.75    91.6   2.04  -999.0  99.00   257.8   1.98   273.4   0.65  -999.0  99.00  -999.0  99.00   144.0   0.99   303.9   1.50
SN2007af     40.58    93.3   1.53  -999.0  99.00   293.4   1.38   434.2   1.15  -999.0  99.00  -999.0  99.00   250.1   1.00   442.3   4.82
SN2007af     56.43    99.8   1.14  -999.0  99.00   296.9   2.31   388.4   0.91  -999.0  99.00  -999.0  99.00   239.7   0.95   510.5   5.05
