#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2007S     -11.87    52.0   2.69     0.8   0.44    96.2   2.23   115.5   1.33  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00
SN2007S      -4.73    80.9   2.68     3.5   0.89    92.1   1.33   114.7   1.72    53.9   0.92    11.5   0.65    50.8   0.91  -999.0  99.00
SN2007S      -3.79    87.5   2.57     4.2   0.50    87.8   0.69   114.5   1.17    51.0   1.35     9.9   0.53    51.0   0.93  -999.0  99.00
SN2007S      -2.78    95.9   1.66     5.3   0.52    93.2   0.93   119.0   0.84    57.7   1.02    10.3   0.57    52.9   1.40  -999.0  99.00
SN2007S      -0.13  -999.0  99.00     6.1   1.14    93.5   1.28   120.9   1.41    68.2   0.84    10.0   0.81    59.9   0.88    83.2   3.20
SN2007S      -0.80    96.0   1.81     5.0   0.63    88.5   0.84   123.0   0.99    70.3   1.06    11.3   0.78    58.0   0.76  -999.0  99.00
SN2007S       0.87  -999.0  99.00     6.4   0.55    87.9   0.87   134.7   1.34    71.3   0.94    10.3   0.71    61.1   0.58    86.5   3.02
SN2007S       5.16    91.3   0.60    15.8   0.67   101.0   0.79   172.7   0.76    62.8   0.82    15.3   0.92    68.8   0.94   150.8   1.07
SN2007S       6.76  -999.0  99.00    12.4   0.82   111.1   1.49   181.9   2.86    60.5   1.10    13.6   0.81    72.4   0.98   138.5   3.59
SN2007S      12.67  -999.0  99.00    14.4   0.63   190.5   1.79   227.2   0.82  -999.0  99.00  -999.0  99.00    88.1   2.00   187.2   1.40
SN2007S      34.30    52.8   3.32  -999.0  99.00   236.6   5.88   377.1   4.01  -999.0  99.00  -999.0  99.00   218.7   4.16   344.4   4.64
