#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2007ax     -2.07   130.3   2.23  -999.0  99.00   218.3   5.28   128.6   2.21    20.5   0.74    44.4   0.71    93.7   1.28   432.4   6.36
SN2007ax     -1.88   121.1   4.06  -999.0  99.00   203.3   4.73   103.9   1.48    28.7   1.22    38.9   2.23    70.7   1.37  -999.0  99.00
SN2007ax     -0.83   124.5   5.51  -999.0  99.00   221.4   3.36   117.4   8.91    28.6   1.38    41.1   0.99    87.5   1.92  -999.0  99.00
