#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2005hj     -4.53  -999.0  99.00  -999.0  99.00   112.8   1.41   105.7   1.43    63.7   3.07     8.7   0.89    63.5   1.47   109.2  14.14
SN2005hj     -3.68  -999.0  99.00  -999.0  99.00   116.8   3.64    84.5   1.92    37.2   1.33    12.5   1.49    38.1   1.00  -999.0  99.00
SN2005hj      1.14  -999.0  99.00  -999.0  99.00   110.9   1.17   106.4   0.30    72.4   0.26    13.1   0.64    62.7   0.51  -999.0  99.00
SN2005hj      3.03  -999.0  99.00  -999.0  99.00   121.4   1.86   127.0   1.91    79.8   1.24    21.3   0.85    75.3   1.17   139.9   4.67
SN2005hj      3.98  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00    70.6   1.08    15.6   0.78    66.3   0.44   148.3  17.29
SN2005hj      5.77  -999.0  99.00  -999.0  99.00   102.6   0.78   136.8   0.58    65.3   0.37    18.1   0.55    66.5   0.67   125.0   2.49
SN2005hj     10.60  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00    28.8   0.76    43.6   1.07   102.0   1.73   113.3  10.54
SN2005hj     18.06  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00   142.8   2.10   358.4  58.18
SN2005hj     24.68  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00   160.4   0.91   379.9   5.69
SN2005hj     33.18  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00   174.0   1.58   402.8   7.26
