#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2007ca      1.32   115.0   3.81    12.5   0.37    87.8   0.65   117.3   0.45    76.4   0.70    10.0   0.52    88.7   0.99   121.9   0.94
SN2007ca      3.35   120.5   1.91    13.7   0.80   102.2   1.67   130.5   1.23    89.0   0.72    17.0   0.66    90.0   0.59  -999.0  99.00
SN2007ca      4.12   107.4   1.69    13.0   1.64    84.0   1.83   135.6   2.69    81.1   0.80    16.2   1.05    90.9   0.75   179.0   6.26
SN2007ca      5.36   102.4   2.23    15.6   0.53   101.9   1.16   145.3   1.22    86.1   0.92    21.7   0.57    91.9   0.79  -999.0  99.00
