#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2004dt     -8.70  -999.0  99.00  -999.0  99.00  -999.0  99.00   151.3   5.47  -999.0  99.00  -999.0  99.00   166.8   0.99    96.2   4.83
SN2004dt     -8.20   243.5   2.20    43.8   0.61   116.2   0.52   103.3   1.42    73.6   2.20    42.1   0.83   164.0   0.51  -999.0  99.00
SN2004dt     -7.70  -999.0  99.00  -999.0  99.00   113.9   3.73    98.0   2.53    76.1   1.79    46.4   1.55   188.0   1.85    91.2   5.25
SN2004dt     -7.30   214.6   1.42    41.4   0.36   119.8   0.91   105.8   0.82    61.1   0.45    22.2   0.86   173.4   0.78   125.4   1.07
SN2004dt     -5.30  -999.0  99.00    33.7   0.48   117.8   0.43   110.3   1.66    64.8   0.70    29.6   1.33   167.6   1.01   139.9   3.82
SN2004dt     -5.30   207.8   0.77    32.7   1.20   109.6   0.38   107.4   0.32    60.5   1.39    30.9   0.82   168.6   0.83   100.3   2.25
SN2004dt     -5.20   234.9   1.04    30.0   0.74   111.5   0.57    96.1   1.12    59.9   0.60    27.2   0.83   163.3   0.14   152.6   2.05
SN2004dt     -4.40   191.0   0.99    30.1   0.55   115.1   0.34   109.5   0.88    65.8   1.18    22.7   1.33   186.8   1.11    95.8   1.43
SN2004dt     -3.30   138.2   0.52    30.6   0.39   119.7   0.90   111.7   1.95    67.8   0.44    27.1   0.67   174.6   0.18   124.6   1.34
SN2004dt     -2.50   146.9   0.99    28.8   0.32   116.5   0.65   117.6   1.48    70.8   1.09    28.1   0.99   191.9   1.62   110.1   3.31
SN2004dt     -1.80   203.5   1.98    27.9   0.50   123.1   0.81   119.8   1.60    77.6   0.70    23.2   0.90   195.5   3.11   127.6   3.67
SN2004dt     -0.80   140.1   1.08    26.7   0.50   119.8   0.69   127.9   3.35    70.7   1.46    22.8   1.16   193.6   0.74   126.0   1.44
SN2004dt      0.50   171.5   2.89    19.4   0.72   106.4   0.41   100.7   0.65    66.5   0.63    20.8   0.88   164.0   1.35  -999.0  99.00
SN2004dt      0.20   137.0   0.51    23.4   0.21   119.6   0.92   118.3   0.89    70.7   0.47    18.3   0.35   185.5   0.67   133.8   1.13
SN2004dt      3.50   140.2   1.46    24.6   0.89   100.0   2.06   118.2   1.35    79.4   0.38    15.3   0.22   171.9   0.31   123.3   1.84
SN2004dt      4.50   132.8   2.20    26.1   0.68   106.0   3.03   157.7   3.76    87.3   2.31    21.1   1.61   178.6   1.14   187.6   1.92
SN2004dt      5.00   114.0   1.43    25.2   0.27    83.1   0.69   139.0   0.53    82.0   0.54    20.6   0.64   172.0   0.51   231.5  10.76
SN2004dt     10.30   107.9   2.99    38.8   1.15   118.5   2.30   175.0   1.94    47.2   1.85  -999.0  99.00   192.0   1.74  -999.0  99.00
SN2004dt     15.20    93.9   1.83  -999.0  99.00   224.9   1.08   247.1   1.44  -999.0  99.00  -999.0  99.00   207.4   0.87   296.8   2.83
SN2004dt     18.20   112.7   3.59  -999.0  99.00   267.4   0.64   271.1   0.64  -999.0  99.00  -999.0  99.00   202.6   0.78  -999.0  99.00
SN2004dt     21.20  -999.0  99.00  -999.0  99.00   233.0   1.73   356.8   0.46  -999.0  99.00  -999.0  99.00   216.1   0.96   329.4   4.02
SN2004dt     23.19  -999.0  99.00  -999.0  99.00   272.3   3.54   367.0   2.09  -999.0  99.00    60.8   0.98   230.9   1.83   329.8   2.28
SN2004dt     28.22  -999.0  99.00  -999.0  99.00  -999.0  99.00   422.4  11.71  -999.0  99.00    41.3   2.87   209.2   4.94   304.0  11.19
SN2004dt     29.08  -999.0  99.00  -999.0  99.00   275.7   2.52   409.9   3.60  -999.0  99.00  -999.0  99.00   233.3   2.72   345.0   3.68
SN2004dt     37.80    68.8   4.92  -999.0  99.00   284.8   4.03   421.2   1.18  -999.0  99.00  -999.0  99.00   207.9   1.14   381.8  11.93
SN2004dt     47.50    86.8   1.99  -999.0  99.00   306.9   3.03   423.4   1.91  -999.0  99.00  -999.0  99.00   213.5   1.62   503.2   1.67
SN2004dt     62.48    74.4   5.89  -999.0  99.00   265.8   4.71   349.7   5.50  -999.0  99.00   120.3   1.55   205.2   5.12   458.9  13.32
SN2004dt    102.57  -999.0  99.00  -999.0  99.00   146.4   3.36   181.3   1.51  -999.0  99.00  -999.0  99.00   147.7   3.10   307.7   6.85
SN2004dt    150.80  -999.0  99.00  -999.0  99.00   172.1  19.20   260.3   8.68  -999.0  99.00  -999.0  99.00   364.8  12.71  -999.0  99.00
