#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2004eo    -10.60  -999.0  99.00    19.7   0.99   137.9   1.43   204.3   1.25    61.8   1.14    49.9   1.68   117.2   1.35   292.7   6.55
SN2004eo    -11.08  -999.0  99.00  -999.0  99.00  -999.0  99.00   182.3   1.90    53.5   1.35    34.6   1.40   101.3   1.44   243.0   4.77
SN2004eo    -10.11  -999.0  99.00    17.4   0.99    87.8   1.85   170.5   4.22    60.2   1.44    33.0   1.28   106.9   0.80   245.2   1.91
SN2004eo     -5.90   130.3   0.85    22.2   0.48    96.6   1.55   144.6   0.69    75.1   0.34    38.6   0.41   104.2   0.26   184.3   1.50
SN2004eo     -2.40   159.0   0.54    31.2   0.07   124.0   0.81   168.0   0.48    82.1   0.71    35.6   0.64   128.9   0.27  -999.0  99.00
SN2004eo      2.60    92.7   1.11    28.7   0.78   168.1   1.50   179.2   0.33    80.1   0.21    30.8   0.43   105.7   0.40   221.0   2.72
SN2004eo      7.50    91.4   0.91  -999.0  99.00   228.5   0.73   237.7   0.56    39.6   0.70    45.8   0.57   130.1   0.87   277.7   1.50
SN2004eo     11.00   113.9   4.03  -999.0  99.00   305.3   5.14   286.6   1.25  -999.0  99.00  -999.0  99.00   158.0   0.61   267.4   1.99
SN2004eo     14.00    79.4   1.18  -999.0  99.00   285.2   1.27   326.7   1.92  -999.0  99.00  -999.0  99.00   204.4   0.64   364.1   2.70
SN2004eo     20.00    92.6   1.33  -999.0  99.00   280.5   1.44   379.4   0.78  -999.0  99.00  -999.0  99.00   239.9   0.64   386.8   3.16
SN2004eo     21.00   101.1   4.29  -999.0  99.00   289.2   3.63   388.2   3.53  -999.0  99.00  -999.0  99.00   252.6   0.96   409.2   1.69
SN2004eo     23.00   128.3  33.02  -999.0  99.00   265.4   3.50   426.1   4.26  -999.0  99.00  -999.0  99.00   267.3   1.63   424.0   2.15
SN2004eo     24.36    80.1   6.03  -999.0  99.00   246.6   6.81   393.3   1.95  -999.0  99.00  -999.0  99.00  -999.0  99.00   376.7  11.03
SN2004eo     29.00    98.5   2.73  -999.0  99.00   282.2   2.76   411.3   1.95  -999.0  99.00  -999.0  99.00   248.1   1.45   424.0   9.10
SN2004eo     45.00   201.5  18.13  -999.0  99.00   310.4   4.52   413.0   3.04  -999.0  99.00  -999.0  99.00   260.9   3.32  -999.0  99.00
SN2004eo     48.00  -999.0  99.00    66.1   5.93   497.1  28.73   435.8   3.36  -999.0  99.00  -999.0  99.00   243.7   7.37  -999.0  99.00
SN2004eo     49.00   323.7  27.51  -999.0  99.00   332.2  17.16   405.1  15.13  -999.0  99.00  -999.0  99.00   244.2   7.74  -999.0  99.00
SN2004eo     53.00    86.6   2.36  -999.0  99.00   291.5   1.83   375.7   1.56  -999.0  99.00  -999.0  99.00   243.2   1.42   473.7   1.63
SN2004eo     67.00  -999.0  99.00  -999.0  99.00   364.2   3.49   347.0   2.77  -999.0  99.00  -999.0  99.00   227.4   2.07  -999.0  99.00
SN2004eo     71.00   155.7  29.39  -999.0  99.00   288.8   2.37   318.2   1.91  -999.0  99.00  -999.0  99.00   222.3   0.86   246.2  70.67
SN2004eo    224.00  -999.0  99.00  -999.0  99.00   250.5   4.37   241.5   0.46  -999.0  99.00  -999.0  99.00   292.2   2.93   363.8   8.51
