#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2009aa     -7.78    77.1   1.45    23.7   0.60    92.6   0.83   110.3   1.65    79.4   1.06    25.7   0.67    80.6   0.28   114.7   4.95
SN2009aa     -6.77    81.4   1.39    21.3   0.45    90.7   1.88   106.1   3.85    82.9   1.27    25.3   0.96    85.6   1.47   138.0   5.84
SN2009aa     -4.84  -999.0  99.00    19.0   0.84    91.8   3.17   117.4   0.73    79.7   0.96    23.8   0.29    85.1   0.71    89.9   1.28
SN2009aa     -1.84  -999.0  99.00    28.1   2.26    93.4   3.72   127.3   1.09    86.9   0.59    25.2   0.22  -999.0  99.00  -999.0  99.00
SN2009aa     -2.10  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00   120.6   1.66
SN2009aa      0.11  -999.0  99.00    26.2   2.74    87.4   1.96   137.9   0.62    87.7   0.61    23.3   0.28  -999.0  99.00  -999.0  99.00
SN2009aa      0.11  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00   135.1   2.05
SN2009aa      6.80  -999.0  99.00  -999.0  99.00   168.3   1.48   194.1   1.16    68.6   0.59    31.2   0.63   118.1   0.80   207.8   3.68
SN2009aa      7.84  -999.0  99.00  -999.0  99.00   184.4   2.23   210.5   1.73    58.4   1.20    34.1   0.75   119.8   2.15   222.8   7.57
SN2009aa      8.78  -999.0  99.00  -999.0  99.00   208.6   1.55   217.2   0.79    48.0   0.75    41.9   0.67   127.3   1.56   219.5   4.09
SN2009aa      9.81  -999.0  99.00  -999.0  99.00   227.2   2.30   225.3   1.46    31.8   0.83    47.8   0.53   134.3   1.92   243.5   6.00
SN2009aa     27.28  -999.0  99.00  -999.0  99.00  -999.0  99.00   388.0   2.18  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00
SN2009aa     27.28  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00   398.5   2.65
SN2009aa     39.90    80.3   3.78  -999.0  99.00   263.5   4.84   368.4   1.56  -999.0  99.00  -999.0  99.00  -999.0  99.00   413.8   5.54
