#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2008hv     -6.59   159.9   1.87    15.4   0.72    78.5   1.49   107.7   1.04    70.2   0.91    14.6   0.42    98.6   0.83   124.0   1.93
SN2008hv     -1.62  -999.0  99.00    24.0   1.02    89.5   0.99   117.3   1.02    80.0   0.59    19.9   0.17    99.9   0.25   104.3   1.87
SN2008hv      1.35  -999.0  99.00    26.9   1.59   112.8   4.90   122.7   1.05    83.4   0.52    21.0   0.29    97.6   0.40   134.6   0.85
SN2008hv      1.32  -999.0  99.00    21.8   1.02    84.7   1.78   118.6   0.48    79.9   0.49    22.7   0.45   100.5   0.54   119.6   5.68
SN2008hv      3.23  -999.0  99.00    18.4   0.48   115.5   2.92   135.4   2.09    87.0   0.81    24.4   0.66   103.8   1.38   133.3   3.89
SN2008hv      7.16  -999.0  99.00    31.9   0.54   144.9   1.27   175.9   0.53    57.9   1.19    41.6   0.79   125.1   1.30   199.2   5.12
SN2008hv     10.17  -999.0  99.00    15.8   1.57   195.6   1.46   216.4   1.24  -999.0  99.00  -999.0  99.00   138.5   0.82   198.2   3.85
SN2008hv     11.15  -999.0  99.00    18.0   1.31   223.6   1.25   221.9   1.18  -999.0  99.00  -999.0  99.00   141.8   1.40   257.6  10.73
SN2008hv     23.00   104.7   4.71  -999.0  99.00   260.5   2.56   345.9   1.01  -999.0  99.00  -999.0  99.00   208.8   1.21   379.9   3.20
SN2008hv     55.51  -999.0  99.00  -999.0  99.00  -999.0  99.00   312.4   1.21  -999.0  99.00  -999.0  99.00   176.8   1.37   425.9   4.69
SN2008hv     70.39  -999.0  99.00  -999.0  99.00   280.9   2.00   272.9   1.32  -999.0  99.00  -999.0  99.00   183.8   1.36   374.1   8.14
