#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2005am     -3.77   159.4   2.58    27.4   0.83   103.2   1.20   189.4   1.99    99.3   1.33    27.0   1.16   134.4   1.38  -999.0  99.00
SN2005am      1.14   108.5   1.02    25.4   0.32    97.7   0.41   169.4   0.59    96.3   0.71    25.7   0.37   119.9   0.39  -999.0  99.00
SN2005am      2.13   103.0   0.87    27.4   0.46    92.0   0.52   169.1   0.94    95.5   0.78    26.1   0.45   117.7   0.62  -999.0  99.00
SN2005am      3.09   105.8   1.16    32.4   0.77   143.2   3.26   182.8   1.28    97.1   1.04    27.8   0.70   118.9   0.47  -999.0  99.00
SN2005am      4.17   101.0   0.45    35.3   0.22   147.2   0.46   186.1   0.68    90.1   0.28    29.9   0.25   119.2   0.13   223.2   0.39
SN2005am      4.10    99.0   1.14  -999.0  99.00   145.0   0.57   180.3   0.91    88.4   0.63    26.8   0.46   118.5   0.68  -999.0  99.00
SN2005am      6.06    96.0   1.52    42.1   0.60   169.4   1.03   198.0   0.83    72.0   0.46    29.1   0.35   122.4   0.38  -999.0  99.00
SN2005am      7.67  -999.0  99.00  -999.0  99.00   206.0   1.25   222.8   1.59    46.7   0.49    39.5   0.76   130.1   1.02   239.9   1.66
SN2005am     11.61  -999.0  99.00  -999.0  99.00   267.4   1.26   269.8   1.19  -999.0  99.00  -999.0  99.00   146.0   1.79   272.9   2.57
SN2005am     16.54  -999.0  99.00  -999.0  99.00  -999.0  99.00   328.0   1.80  -999.0  99.00  -999.0  99.00   182.4   0.78  -999.0  99.00
SN2005am     25.44  -999.0  99.00  -999.0  99.00   271.2   1.75   411.7   1.20  -999.0  99.00    41.3   1.03   249.0   1.29   390.4   1.87
SN2005am     30.44  -999.0  99.00  -999.0  99.00   278.3   1.51   411.8   2.24  -999.0  99.00    43.8   0.84   246.1   0.91   414.3   2.10
SN2005am     35.37  -999.0  99.00  -999.0  99.00   308.1   7.02   453.2  17.34  -999.0  99.00    70.5   2.86   246.3   3.86   511.1  35.40
SN2005am     38.34  -999.0  99.00  -999.0  99.00   271.6   6.77   395.7   2.46  -999.0  99.00    56.0   1.69   220.7   2.07   427.1  17.95
