# CMFGEN MODEL SCH6p0
#
# TIME SINCE EXPLOSION = 1.0000 days
# TOTAL MASS = 2.16934e+33 g = 1.09067e+00 Msun
# KINETIC ENERGY = 1.30809e+51 erg
# 56Ni MASS AT 1.0000 days PAST EXPLOSION = 1.25085e+33 g = 6.28886e-01 Msun
# 56Co MASS AT 1.0000 days PAST EXPLOSION = 1.50474e+32 g = 7.56532e-02 Msun
#
# COLUMNS:
#
# (1) velocity at zone center (km/s)
# (2) radius at zone center [cm] = velocity at zone center * time_since_explosion
# (3) shell node volumes [cm^3], for zone index i = 1,...,n:
#       dvol_1 = 4pi/3 * [0.5*(r_1+r_2)^3 - r_1^3]
#       dvol_2,...,{n-1} = 4pi/3 * [0.5*(r_{i+1}+r_i)^3 - 0.5*(r_{i-1}+r_i)^3]
#       dvol_n = 4pi/3 * [r_n^3 - 0.5*(r_{n-1}+r_n)^3]
# (4) density at zone center [g/cm^3] (NOT mean density over shell)
# (5) shell mass estimate = shell node volumes * density at zone center
# (6) temperature at zone center [K]
# (7)-(26) elemental mass fractions at t = 1.0000 days since explosion
# (27)-(49) isotopic mass fractions for radioactive nuclei at t = 1.0000 days since explosion
#
# RADIOACTIVE CHAINS:
#
# ni56 -> co56   thalf_day = 6.07490000e+00   MeV/decay = 1.71827580e+00
# co56 -> fe56   thalf_day = 7.72330000e+01   MeV/decay = 3.74889320e+00
# ni57 -> co57   thalf_day = 1.48333000e+00   MeV/decay = 2.09130000e+00
# co57 -> fe57   thalf_day = 2.71740000e+02   MeV/decay = 1.21800000e-01
# cr48 -> v48    thalf_day = 8.98330000e-01   MeV/decay = 4.34000000e-01
# v48  -> ti48   thalf_day = 1.59735000e+01   MeV/decay = 3.05530000e+00
# cr49 -> v49    thalf_day = 2.93700000e-02   MeV/decay = 1.65300000e+00
# v49  -> ti49   thalf_day = 3.30000000e+02   MeV/decay = 0.00000000e+00
# mn51 -> cr51   thalf_day = 3.20000000e-02   MeV/decay = 1.92560000e+00
# cr51 -> v51    thalf_day = 2.77000000e+01   MeV/decay = 3.17000000e-02
# co55 -> fe55   thalf_day = 7.30420000e-01   MeV/decay = 2.37300000e+00
# fe55 -> mn55   thalf_day = 1.00220000e+03   MeV/decay = 0.00000000e+00
# ar37 -> cl37   thalf_day = 3.50400000e+01   MeV/decay = 1.00000000e-04
# fe52 -> mn52   thalf_day = 3.44790000e-01   MeV/decay = 9.42100000e-01
# mn52 -> cr52   thalf_day = 1.47200000e-02   MeV/decay = 3.56040000e+00
# ti44 -> sc44   thalf_day = 2.19150000e+04   MeV/decay = 0.00000000e+00
# sc44 -> ca44   thalf_day = 1.65420000e-01   MeV/decay = 2.73170000e+00
# ar41 -> k41    thalf_day = 7.61200000e-02   MeV/decay = 1.74700000e+00
# k42  -> ca42   thalf_day = 5.13400000e-01   MeV/decay = 1.70600000e+00
# k43  -> ca43   thalf_day = 9.29000000e-01   MeV/decay = 1.27400000e+00
# sc43 -> ca43   thalf_day = 1.62130000e-01   MeV/decay = 1.40400000e+00
# sc47 -> ti47   thalf_day = 3.34920000e+00   MeV/decay = 2.70870000e-01
# co61 -> ni61   thalf_day = 6.87500000e-02   MeV/decay = 5.55000000e-01
#
# IONS USED IN CMFGEN CALCULATION:
#
# NOTE: N_f,N_s = number of full,super levels
#
# ion   N_s  N_f 
# CI      14   26
# CII     14   26
# CIII    62  112
# OI      38  101
# OII     63  143
# OIII    44   86
# NeI     70  139
# NeII    22   91
# NeIII   24   56
# NaI     22   71
# MgII    31   80
# MgIII   31   99
# AlII    26   44
# AlIII   31   80
# SiII    31   59
# SiIII   33   61
# SiIV    37   48
# SII     56  324
# SIII    48   98
# SIV     27   67
# ArI     56  110
# ArII   134  415
# ArIII   32  346
# CaII    21   77
# CaIII   16   40
# CaIV    18   69
# ScII    38   85
# ScIII   25   45
# TiII    37  152
# TiIII   33  206
# VI       1    1
# ClIV     1    1
# KIII     1    1
# CrII    28  196
# CrIII   30  145
# CrIV    29  234
# MnII    25   97
# MnIII   30  175
# FeI     44  136
# FeII   275  827
# FeIII   83  698
# FeIV   100 1000
# FeV     47  191
# FeVI    44  433
# FeVII   29  153
# CoII   136 2747
# CoIII  124 3917
# CoIV    37  314
# CoV     32  387
# CoVI    28  323
# CoVII   31  319
# NiII    59 1000
# NiIII   47 1000
# NiIV    28  254
# NiV     46  183
# NiVI    37  314
# NiVII   37  308
#
#vel[km/s]  rad[cm]     dvol[cm^3]  dens[g/cm^3] dmass[g]    temp[K]     c           o           ne          na          mg          al          si          s           cl          ar          k           ca          sc          ti          v           cr          mn          fe          co          ni          ni56        co56        ni57        co57        cr48        v48         cr49        v49         mn51        cr51        co55        fe55        ar37        fe52        mn52        ti44        sc44        ar41        k42         k43         sc43        sc47        co61       
#(1)        (2)         (3)         (4)         (5)         (6)         (7)         (8)         (9)         (10)        (11)        (12)        (13)        (14)        (15)        (16)        (17)        (18)        (19)        (20)        (21)        (22)        (23)        (24)        (25)        (26)        (27)        (28)        (29)        (30)        (31)        (32)        (33)        (34)        (35)        (36)        (37)        (38)        (39)        (40)        (41)        (42)        (43)        (44)        (45)        (46)        (47)        (48)        (49)       
2.07532e+03 1.79307e+13 4.19820e+39 1.12516e-09 4.72363e+30 1.24578e+05 1.07793e-07 1.66794e-10 2.72351e-10 3.02201e-14 5.43467e-10 1.54852e-10 3.50844e-09 3.81636e-08 2.58752e-09 8.69639e-08 5.82369e-09 1.69276e-07 4.90902e-11 4.97345e-07 3.62498e-07 3.65774e-05 2.52657e-07 4.81647e-04 1.08771e-01 8.84281e-01 8.26836e-01 9.94583e-02 1.56569e-02 9.31098e-03 3.18655e-07 3.61639e-07 8.77267e-21 1.54931e-10 1.04302e-19 2.59150e-10 1.05290e-06 1.66560e-06 7.65874e-10 5.64948e-06 2.51935e-07 4.88413e-07 3.63258e-12 1.11129e-24 2.60659e-21 4.74110e-21 9.21389e-13 8.13720e-21 4.18750e-25
2.19882e+03 1.89978e+13 4.99318e+39 1.10833e-09 5.53408e+30 1.24157e+05 1.03534e-07 1.60381e-10 2.60672e-10 2.96387e-14 5.19250e-10 1.49163e-10 3.34739e-09 3.65248e-08 2.45375e-09 8.32166e-08 5.53685e-09 1.62725e-07 4.69827e-11 4.78693e-07 3.49334e-07 3.50807e-05 2.42322e-07 4.80977e-04 1.08759e-01 8.84285e-01 8.26477e-01 9.94152e-02 1.57081e-02 9.34143e-03 3.07089e-07 3.48512e-07 8.34410e-21 1.47362e-10 1.00065e-19 2.48623e-10 1.03061e-06 1.63033e-06 7.30427e-10 5.41808e-06 2.41616e-07 4.70085e-07 3.49627e-12 1.11129e-24 2.61503e-21 4.74113e-21 8.76017e-13 8.14328e-21 4.18750e-25
2.32967e+03 2.01283e+13 5.93870e+39 1.08870e-09 6.46549e+30 1.23633e+05 1.05758e-07 1.63939e-10 2.66045e-10 3.04963e-14 5.29933e-10 1.52662e-10 3.41847e-09 3.75905e-08 2.51445e-09 8.51194e-08 5.69450e-09 1.66942e-07 4.91635e-11 4.91774e-07 3.59340e-07 3.29501e-05 2.27429e-07 4.80094e-04 1.08746e-01 8.84163e-01 8.26211e-01 9.93830e-02 1.57414e-02 9.36127e-03 3.15895e-07 3.58506e-07 7.76692e-21 1.37168e-10 1.02501e-19 2.54675e-10 9.92580e-07 1.57018e-06 7.52613e-10 5.08472e-06 2.26750e-07 4.82919e-07 3.59176e-12 1.11129e-24 2.62854e-21 4.74120e-21 9.12075e-13 8.15361e-21 4.18750e-25
2.46830e+03 2.13261e+13 7.06327e+39 1.06657e-09 7.53346e+30 1.23022e+05 1.15101e-07 1.78460e-10 2.90237e-10 3.29074e-14 5.79266e-10 1.66243e-10 3.74755e-09 4.17128e-08 2.79584e-09 9.32913e-08 6.36022e-09 1.83115e-07 5.64224e-11 5.40146e-07 3.95185e-07 3.02808e-05 2.08626e-07 4.79038e-04 1.08735e-01 8.83910e-01 8.26058e-01 9.93647e-02 1.57535e-02 9.36846e-03 3.47417e-07 3.94280e-07 7.07002e-21 1.24861e-10 1.12673e-19 2.79949e-10 9.40136e-07 1.48721e-06 8.40347e-10 4.66387e-06 2.07983e-07 5.30407e-07 3.94507e-12 1.11129e-24 2.65036e-21 4.74134e-21 1.04468e-12 8.17143e-21 4.18750e-25
2.61519e+03 2.25952e+13 8.40080e+39 1.04255e-09 8.75824e+30 1.22340e+05 1.32829e-07 2.05916e-10 3.36755e-10 3.71029e-14 6.74659e-10 1.91682e-10 4.38533e-09 4.95624e-08 3.34771e-09 1.08922e-07 7.65346e-09 2.13512e-07 7.01967e-11 6.30583e-07 4.61919e-07 2.72003e-05 1.86769e-07 4.77862e-04 1.08725e-01 8.83522e-01 8.26046e-01 9.93632e-02 1.57399e-02 9.36036e-03 4.06092e-07 4.60871e-07 6.29140e-21 1.11110e-10 1.32531e-19 3.29288e-10 8.74917e-07 1.38404e-06 1.00846e-09 4.17472e-06 1.86169e-07 6.19199e-07 4.60567e-12 1.11129e-24 2.68604e-21 4.74162e-21 1.30169e-12 8.20263e-21 4.18750e-25
2.77082e+03 2.39399e+13 9.99159e+39 1.01712e-09 1.01627e+31 1.21598e+05 1.60906e-07 2.49371e-10 4.11078e-10 4.34275e-14 8.27707e-10 2.31709e-10 5.41117e-09 6.21920e-08 4.24871e-09 1.33836e-07 9.76356e-09 2.61601e-07 9.27887e-11 7.73457e-07 5.67280e-07 2.38964e-05 1.63118e-07 4.76636e-04 1.08718e-01 8.82990e-01 8.26198e-01 9.93815e-02 1.56964e-02 9.33447e-03 4.98719e-07 5.65992e-07 5.48387e-21 9.68494e-11 1.65135e-19 4.10297e-10 7.99488e-07 1.26472e-06 1.28019e-09 3.64545e-06 1.62567e-07 7.59475e-07 5.64933e-12 1.11129e-24 2.74512e-21 4.74218e-21 1.72848e-12 8.25822e-21 4.18750e-25
2.93571e+03 2.53645e+13 1.18836e+40 9.90660e-10 1.17726e+31 1.20806e+05 2.02230e-07 3.13359e-10 5.21367e-10 5.23738e-14 1.05574e-09 2.90333e-10 6.94357e-09 8.11845e-08 5.61803e-09 1.70714e-07 1.29786e-08 3.32446e-07 1.27754e-10 9.83945e-07 7.22606e-07 2.06138e-05 1.39304e-07 4.75439e-04 1.08711e-01 8.82305e-01 8.26524e-01 9.94208e-02 1.56200e-02 9.28906e-03 6.35256e-07 7.20947e-07 4.71308e-21 8.32376e-11 2.15099e-19 5.34438e-10 7.17325e-07 1.13475e-06 1.69044e-09 3.11261e-06 1.38805e-07 9.66134e-07 7.18696e-12 1.11129e-24 2.84363e-21 4.74334e-21 2.39628e-12 8.35846e-21 4.18750e-25
3.11041e+03 2.68739e+13 1.41339e+40 9.63423e-10 1.36170e+31 1.19970e+05 2.60527e-07 4.03740e-10 6.78247e-10 6.45492e-14 1.38138e-09 3.72678e-10 9.13744e-09 1.08631e-07 7.61416e-09 2.22976e-07 1.76844e-08 4.32483e-07 1.79954e-10 1.28135e-06 9.42352e-07 1.76228e-05 1.17123e-07 4.74349e-04 1.08705e-01 8.81461e-01 8.27011e-01 9.94794e-02 1.55111e-02 9.22430e-03 8.28400e-07 9.40144e-07 4.04777e-21 7.14891e-11 2.88537e-19 7.16902e-10 6.32458e-07 1.00049e-06 2.28514e-09 2.61637e-06 1.16676e-07 1.25812e-06 9.35962e-12 1.11129e-24 3.00594e-21 4.74572e-21 3.40449e-12 8.53722e-21 4.18750e-25
3.29551e+03 2.84732e+13 1.68104e+40 9.35564e-10 1.57272e+31 1.19091e+05 3.40460e-07 5.27896e-10 8.95191e-10 8.06851e-14 1.83344e-09 4.85130e-10 1.21898e-08 1.47218e-07 1.04418e-08 2.94864e-07 2.43835e-08 5.69645e-07 2.55858e-10 1.68948e-06 1.24437e-06 1.51830e-05 9.82708e-08 4.73425e-04 1.08696e-01 8.80452e-01 8.27614e-01 9.95519e-02 1.53739e-02 9.14273e-03 1.09383e-06 1.24138e-06 3.54999e-21 6.26997e-11 3.93314e-19 9.77234e-10 5.48850e-07 8.68233e-07 3.12293e-09 2.19469e-06 9.78707e-08 1.65880e-06 1.23412e-11 1.11129e-24 3.26800e-21 4.75053e-21 4.88842e-12 8.84948e-21 4.18750e-25
3.49162e+03 3.01676e+13 1.99936e+40 9.07114e-10 1.81365e+31 1.18168e+05 4.48227e-07 6.95701e-10 1.19032e-09 1.01733e-13 2.45075e-09 6.36165e-10 1.63662e-08 2.00586e-07 1.43790e-08 3.91979e-07 3.37649e-08 7.54348e-07 3.64481e-10 2.23946e-06 1.65207e-06 1.35261e-05 8.42181e-08 4.72699e-04 1.08679e-01 8.79271e-01 8.28258e-01 9.96294e-02 1.52164e-02 9.04906e-03 1.45209e-06 1.64797e-06 3.27226e-21 5.77973e-11 5.40076e-19 1.34188e-09 4.69935e-07 7.43397e-07 4.28277e-09 1.88047e-06 8.38587e-08 2.19873e-06 1.63592e-11 1.11129e-24 3.68420e-21 4.76015e-21 7.04057e-12 9.38636e-21 4.18750e-25
