# CMFGEN MODEL DDC20
#
# TIME SINCE EXPLOSION = 1.3000 days
# TOTAL MASS = 2.87640e+33 g = 1.44616e+00 Msun
# KINETIC ENERGY = 1.43754e+51 erg
# 56Ni MASS AT 1.3000 days PAST EXPLOSION = 5.13770e+32 g = 2.58306e-01 Msun
# 56Co MASS AT 1.3000 days PAST EXPLOSION = 8.17111e+31 g = 4.10815e-02 Msun
#
# COLUMNS:
#
# (1) velocity at zone center (km/s)
# (2) radius at zone center [cm] = velocity at zone center * time_since_explosion
# (3) shell node volumes [cm^3], for zone index i = 1,...,n:
#       dvol_1 = 4pi/3 * [0.5*(r_1+r_2)^3 - r_1^3]
#       dvol_2,...,{n-1} = 4pi/3 * [0.5*(r_{i+1}+r_i)^3 - 0.5*(r_{i-1}+r_i)^3]
#       dvol_n = 4pi/3 * [r_n^3 - 0.5*(r_{n-1}+r_n)^3]
# (4) density at zone center [g/cm^3] (NOT mean density over shell)
# (5) shell mass estimate = shell node volumes * density at zone center
# (6) temperature at zone center [K]
# (7)-(26) elemental mass fractions at t = 1.3000 days since explosion
# (27)-(49) isotopic mass fractions for radioactive nuclei at t = 1.3000 days since explosion
#
# RADIOACTIVE CHAINS:
#
# ni56 -> co56   thalf_day = 6.07490000e+00   MeV/decay = 1.71827580e+00
# co56 -> fe56   thalf_day = 7.72330000e+01   MeV/decay = 3.74889320e+00
# ni57 -> co57   thalf_day = 1.48333000e+00   MeV/decay = 2.09130000e+00
# co57 -> fe57   thalf_day = 2.71740000e+02   MeV/decay = 1.21800000e-01
# cr48 -> v48    thalf_day = 8.98330000e-01   MeV/decay = 4.34000000e-01
# v48  -> ti48   thalf_day = 1.59735000e+01   MeV/decay = 3.05530000e+00
# cr49 -> v49    thalf_day = 2.93700000e-02   MeV/decay = 1.65300000e+00
# v49  -> ti49   thalf_day = 3.30000000e+02   MeV/decay = 0.00000000e+00
# mn51 -> cr51   thalf_day = 3.20000000e-02   MeV/decay = 1.92560000e+00
# cr51 -> v51    thalf_day = 2.77000000e+01   MeV/decay = 3.17000000e-02
# co55 -> fe55   thalf_day = 7.30420000e-01   MeV/decay = 2.37300000e+00
# fe55 -> mn55   thalf_day = 1.00220000e+03   MeV/decay = 0.00000000e+00
# ar37 -> cl37   thalf_day = 3.50400000e+01   MeV/decay = 1.00000000e-04
# fe52 -> mn52   thalf_day = 3.44790000e-01   MeV/decay = 9.42100000e-01
# mn52 -> cr52   thalf_day = 1.47200000e-02   MeV/decay = 3.56040000e+00
# ti44 -> sc44   thalf_day = 2.19150000e+04   MeV/decay = 0.00000000e+00
# sc44 -> ca44   thalf_day = 1.65420000e-01   MeV/decay = 2.73170000e+00
# ar41 -> k41    thalf_day = 7.61200000e-02   MeV/decay = 1.74700000e+00
# k42  -> ca42   thalf_day = 5.13400000e-01   MeV/decay = 1.70600000e+00
# k43  -> ca43   thalf_day = 9.29000000e-01   MeV/decay = 1.27400000e+00
# sc43 -> ca43   thalf_day = 1.62130000e-01   MeV/decay = 1.40400000e+00
# sc47 -> ti47   thalf_day = 3.34920000e+00   MeV/decay = 2.70870000e-01
# co61 -> ni61   thalf_day = 6.87500000e-02   MeV/decay = 5.55000000e-01
#
# IONS USED IN CMFGEN CALCULATION:
#
# NOTE: N_f,N_s = number of full,super levels
#
# ion   N_s  N_f 
# CI      14   26
# CII     14   26
# CIII    62  112
# CIV     59   64
# OI      19   51
# OII     30  111
# OIII    50   86
# OIV     53   72
# NeI     70  139
# NeII    22   91
# NeIII   23   71
# NaI     22   71
# MgII    22   65
# MgIII   31   99
# AlII    26   44
# AlIII   17   45
# SiII    31   59
# SiIII   33   61
# SiIV    37   48
# SII     56  324
# SIII    48   98
# SIV     27   67
# ArI     56  110
# ArII   134  415
# ArIII   32  346
# CaII    21   77
# CaIII   16   40
# CaIV    18   69
# ScII    38   85
# ScIII   25   45
# TiII    37  152
# TiIII   33  206
# VI       1    1
# ClIV     1    1
# KIII     1    1
# CrII    28  196
# CrIII   30  145
# CrIV    29  234
# MnII    25   97
# MnIII   30  175
# FeI     44  136
# FeII   275  827
# FeIII   69  607
# FeIV   100 1000
# FeV     47  191
# FeVI    44  433
# FeVII   29  153
# CoII    34  144
# CoIII   37  361
# CoIV    37  314
# CoV     32  387
# CoVI    28  323
# CoVII   31  319
# NiII    19   93
# NiIII   15   67
# NiIV    36  200
# NiV     46  183
# NiVI    37  314
# NiVII   37  308
#
#vel[km/s]  rad[cm]     dvol[cm^3]  dens[g/cm^3] dmass[g]    temp[K]     c           o           ne          na          mg          al          si          s           cl          ar          k           ca          sc          ti          v           cr          mn          fe          co          ni          ni56        co56        ni57        co57        cr48        v48         cr49        v49         mn51        cr51        co55        fe55        ar37        fe52        mn52        ti44        sc44        ar41        k42         k43         sc43        sc47        co61       
#(1)        (2)         (3)         (4)         (5)         (6)         (7)         (8)         (9)         (10)        (11)        (12)        (13)        (14)        (15)        (16)        (17)        (18)        (19)        (20)        (21)        (22)        (23)        (24)        (25)        (26)        (27)        (28)        (29)        (30)        (31)        (32)        (33)        (34)        (35)        (36)        (37)        (38)        (39)        (40)        (41)        (42)        (43)        (44)        (45)        (46)        (47)        (48)        (49)       
1.39144e+03 1.56286e+13 2.88893e+39 2.04116e-09 5.89677e+30 7.60802e+04 7.80231e-10 1.58899e-08 4.09095e-13 1.04458e-15 9.38447e-09 1.78843e-13 7.10555e-04 4.62164e-04 3.24255e-09 9.77338e-05 1.14661e-08 1.24345e-04 1.27938e-08 2.86111e-03 1.04107e-03 2.26810e-01 1.34674e-02 6.01970e-01 1.65358e-02 1.35594e-01 3.26606e-02 5.28433e-03 1.08731e-03 4.70622e-03 1.92545e-06 3.21750e-06 4.59997e-20 1.54104e-06 2.46715e-18 4.97119e-05 3.85527e-04 1.16655e-02 6.23682e-09 2.57977e-05 1.15043e-06 8.88667e-08 6.73387e-13 9.29556e-21 6.49775e-15 2.12162e-13 1.54807e-14 1.25591e-08 9.16845e-11
1.47757e+03 1.65961e+13 3.45931e+39 2.07236e-09 7.16894e+30 8.03072e+04 9.79860e-10 1.99555e-08 5.13759e-13 1.31182e-15 1.17856e-08 2.23195e-13 8.92355e-04 5.80403e-04 3.91272e-09 1.22726e-04 1.43227e-08 1.56138e-04 9.38029e-09 2.08433e-03 7.73419e-04 1.95718e-01 1.11821e-02 6.17549e-01 1.78692e-02 1.52745e-01 4.10158e-02 6.63600e-03 1.36546e-03 5.86319e-03 2.41803e-06 4.04057e-06 5.77623e-20 1.88317e-06 3.09809e-18 6.00881e-05 4.84146e-04 1.44559e-02 7.82399e-09 3.23973e-05 1.44474e-06 1.11600e-07 8.45539e-13 6.75715e-21 4.79662e-15 1.54161e-13 1.94205e-14 9.16364e-09 6.69657e-11
1.56903e+03 1.76234e+13 4.14230e+39 2.07554e-09 8.59752e+30 8.44294e+04 1.20574e-09 2.45556e-08 6.32169e-13 1.61416e-15 1.45024e-08 2.71888e-13 1.09806e-03 7.14184e-04 4.61294e-09 1.50995e-04 1.73473e-08 1.92112e-04 6.38621e-09 1.40550e-03 5.36624e-04 1.63947e-01 9.12027e-03 6.30256e-01 1.95229e-02 1.72727e-01 5.04698e-02 8.16487e-03 1.68013e-03 7.08425e-03 2.97537e-06 4.97178e-06 7.10539e-20 2.22808e-06 3.81112e-18 6.93813e-05 5.95701e-04 1.72746e-02 9.59756e-09 3.98647e-05 1.77774e-06 1.37323e-07 1.04009e-12 4.54220e-21 3.29297e-15 1.03567e-13 2.38084e-14 6.19179e-09 4.53116e-11
1.66616e+03 1.87143e+13 4.96013e+39 2.07418e-09 1.02882e+31 8.84579e+04 1.45409e-09 2.96135e-08 7.62316e-13 1.94648e-15 1.74895e-08 3.22153e-13 1.32423e-03 8.61265e-04 5.22084e-09 1.82059e-04 2.00851e-08 2.31664e-04 4.38130e-09 9.54700e-04 3.75579e-04 1.35659e-01 7.61752e-03 6.35792e-01 2.15177e-02 1.95155e-01 6.08646e-02 9.84396e-03 2.02582e-03 8.20904e-03 3.58817e-06 5.99545e-06 8.56085e-20 2.53833e-06 4.59181e-18 7.48115e-05 7.18202e-04 1.95867e-02 1.14871e-08 4.80752e-05 2.14389e-06 1.65599e-07 1.25343e-12 3.07589e-21 2.27156e-15 7.00974e-14 2.83987e-14 4.21220e-09 3.08623e-11
1.76929e+03 1.98727e+13 5.93944e+39 2.06369e-09 1.22572e+31 9.26290e+04 1.75974e-09 3.58381e-08 9.22420e-13 2.35532e-15 2.11657e-08 3.79890e-13 1.60257e-03 1.04226e-03 5.71275e-09 2.20260e-04 2.24460e-08 2.80329e-04 3.13060e-09 6.77352e-04 2.73550e-04 1.10295e-01 6.47944e-03 6.32666e-01 2.40431e-02 2.22090e-01 7.36571e-02 1.19058e-02 2.45024e-03 9.21032e-03 4.34229e-06 7.25489e-06 1.03395e-19 2.85235e-06 5.54462e-18 7.54679e-05 8.68488e-04 2.11750e-02 1.37143e-08 5.81794e-05 2.59447e-06 2.00384e-07 1.51509e-12 2.17785e-21 1.62375e-15 4.96182e-14 3.35554e-14 2.98940e-09 2.19160e-11
1.87881e+03 2.11028e+13 7.11210e+39 2.02195e-09 1.43803e+31 9.70983e+04 2.16105e-09 4.40111e-08 1.13257e-12 2.89198e-15 2.59926e-08 4.53538e-13 1.96802e-03 1.27990e-03 6.15002e-09 2.70394e-04 2.45146e-08 3.44204e-04 2.29171e-09 4.93902e-04 2.05185e-04 8.75403e-02 5.47468e-03 6.20202e-01 2.72377e-02 2.54654e-01 9.04506e-02 1.46043e-02 3.00451e-03 1.00273e-02 5.33227e-06 8.90800e-06 1.26564e-19 3.23546e-06 6.78132e-18 7.20044e-05 1.06463e-03 2.18743e-02 1.65483e-08 7.14437e-05 3.18599e-06 2.46020e-07 1.85766e-12 1.58596e-21 1.18591e-15 3.61299e-14 3.96126e-14 2.17844e-09 1.59733e-11
1.99511e+03 2.24091e+13 8.51627e+39 1.96165e-09 1.67060e+31 1.02113e+05 2.71535e-09 5.52997e-08 1.42279e-12 3.63307e-15 3.26597e-08 5.56188e-13 2.47280e-03 1.60812e-03 6.69630e-09 3.39621e-04 2.66726e-08 4.32380e-04 1.68312e-09 3.62053e-04 1.56834e-04 6.77888e-02 4.50684e-03 5.97229e-01 3.13651e-02 2.93405e-01 1.13617e-01 1.83133e-02 3.75927e-03 1.05733e-02 6.69900e-06 1.11901e-05 1.58283e-19 3.77972e-06 8.46011e-18 6.60928e-05 1.33178e-03 2.15823e-02 2.04162e-08 8.97491e-05 4.00231e-06 3.08945e-07 2.32965e-12 1.16114e-21 8.68744e-16 2.64513e-14 4.70254e-14 1.59509e-09 1.16961e-11
2.11861e+03 2.37963e+13 1.01977e+40 1.90476e-09 1.94242e+31 1.07919e+05 3.53168e-09 7.19249e-08 1.85016e-12 4.72433e-15 4.24785e-08 7.10567e-13 3.21620e-03 2.09151e-03 7.60654e-09 4.41543e-04 2.96744e-08 5.62058e-04 1.21738e-09 2.61698e-04 1.21914e-04 5.10341e-02 3.55131e-03 5.61746e-01 3.70622e-02 3.39573e-01 1.47406e-01 2.37028e-02 4.82175e-03 1.08151e-02 8.70658e-06 1.45424e-05 2.04217e-19 4.62075e-06 1.08374e-17 5.96342e-05 1.70799e-03 2.03408e-02 2.61192e-08 1.16544e-04 5.19720e-06 4.01022e-07 3.02036e-12 8.37729e-22 6.26821e-16 1.90834e-14 5.65642e-14 1.15080e-09 8.43828e-12
2.24976e+03 2.52693e+13 1.22111e+40 1.84068e-09 2.24767e+31 1.14282e+05 4.74262e-09 9.65868e-08 2.48401e-12 6.34296e-15 5.70437e-08 9.43308e-13 4.31895e-03 2.80850e-03 9.14035e-09 5.92571e-04 3.44107e-08 7.53380e-04 8.58489e-10 1.84613e-04 9.79613e-05 3.74575e-02 2.65294e-03 5.13584e-01 4.49389e-02 3.92263e-01 1.95407e-01 3.13363e-02 6.20016e-03 1.08166e-02 1.16468e-05 1.94521e-05 2.69069e-19 5.86821e-06 1.40016e-17 5.43569e-05 2.19400e-03 1.84583e-02 3.46040e-08 1.55184e-04 6.92034e-06 5.34204e-07 4.01988e-12 5.88953e-22 4.40671e-16 1.34158e-14 6.82890e-14 8.09023e-10 5.93220e-12
2.38902e+03 2.68335e+13 1.46220e+40 1.76489e-09 2.58062e+31 1.20590e+05 6.53166e-09 1.33022e-07 3.42030e-12 8.73429e-15 7.85623e-08 1.29051e-12 5.94805e-03 3.86723e-03 1.15659e-08 8.14862e-04 4.19002e-08 1.03106e-03 5.94804e-10 1.28115e-04 8.44536e-05 2.73835e-02 1.89647e-03 4.55425e-01 5.51067e-02 4.47956e-01 2.58147e-01 4.12908e-02 7.67747e-03 1.07021e-02 1.58045e-05 2.63951e-05 3.53183e-19 7.53727e-06 1.76095e-17 5.12188e-05 2.70428e-03 1.64367e-02 4.70937e-08 2.07583e-04 9.25704e-06 7.16966e-07 5.39215e-12 4.06016e-22 3.03778e-16 9.24815e-15 8.08834e-14 5.57698e-10 4.08934e-12
